Tonality,Aggressiveness,Timbre,Instrumental,Relaxedness,Acoustics,Danceability
0.775773942,0.962131798,0.391527325,0.018360993,0.014926278,0.003145623,1.43E-05
0.540399671,3.00E-14,0.00079369,0.994478643,0.808817089,0.09559036,3.00E-14
3.68E-06,3.00E-14,0.003997793,0.991823077,0.808817089,0.09559036,3.00E-14
0.992954493,0.003487665,0.994538665,0.230645552,0.702296078,0.014400994,0.993369699
0.308934003,3.00E-14,0.002357452,0.991153657,0.808817089,0.09559036,3.00E-14
2.72E-06,3.00E-14,0.00359873,0.999985397,0.808817089,0.09559036,3.00E-14
0.929650068,0.355476111,0.96278435,0.002619928,0.136146441,0.009730848,0.97130847
0.012441341,3.00E-14,0.030816557,0.9741171,0.808817089,0.09559036,3.00E-14
0.078623712,3.00E-14,0.011039685,0.99999994,0.808817089,0.09559036,3.00E-14
0.70572871,0.784568489,0.941446722,0.835169256,0.02018559,7.48E-06,0.637557447
0.684565961,0.999337196,0.875883102,0.007174599,0.017344736,1.63E-07,0.037728362
0.07173495,0.012992716,0.684654832,0.007239704,0.297332585,0.01599521,0.984684289
1.88E-05,3.00E-14,0.000332328,0.996939838,0.808817089,0.09559036,3.00E-14
0.956413627,0.233737469,0.539755762,0.110501833,0.060580526,0.104591012,0.925594449
0.146418795,3.00E-14,0.006991699,1,0.808817089,0.09559036,3.00E-14
0.955937862,0.983608127,0.972551942,0.010876767,0.003159683,1.87E-06,0.914534211
