Tonality,Aggressiveness,Timbre,Instrumental,Relaxedness,Acoustics,Danceability
0.00829656,0.885107875,0.001046671,0.464152515,0.16807057,0.003718363,0.754992425
0.005879417,3.00E-14,0.00370894,0.99999994,0.808817089,0.09559036,3.00E-14
0.009157158,3.00E-14,0.02269586,0.99999696,0.808817089,0.09559036,3.00E-14
0.936012387,0.450612962,0.333705992,0.461654991,0.112379543,0.173571482,0.537321627
1.35E-06,3.00E-14,0.00147398,0.992156446,0.808817089,0.09559036,3.00E-14
0.102143519,3.00E-14,0.061486557,0.99999994,0.808817089,0.09559036,3.00E-14
7.42E-06,3.00E-14,0.047793251,0.99999994,0.808817089,0.09559036,3.00E-14
0.258500636,0.995647311,0.945410728,0.0036431,0.02352795,1.81E-05,0.740429223
0.13045077,0.78756249,0.026732722,0.0847179,0.16539818,0.043420594,0.009267127
0.002740309,3.00E-14,0.068571024,0.983970582,0.808817089,0.09559036,3.00E-14
0.2990385,0.970713615,0.075095616,0.004252046,0.040075988,0.010613802,0.3919034
1.38E-05,3.00E-14,0.000801373,0.990846097,0.808817089,0.09559036,3.00E-14
2.61E-06,3.00E-14,0.000101884,1,0.808817089,0.09559036,3.00E-14
0.076555401,0.993736565,0.152252913,0.083470508,0.054918069,1.16E-06,0.59228307
0.969379365,0.888179481,0.569713652,0.046278015,0.013724852,0.004621608,0.594732881
1.46E-06,3.00E-14,0.00174563,0.999999881,0.808817089,0.09559036,3.00E-14
0.661988974,9.34E-06,0.058976121,0.111134797,0.579906166,0.323716372,0.549905837
