Tonality,Aggressiveness,Timbre,Instrumental,Relaxedness,Acoustics,Danceability
0.61794585,0.836462557,0.978726804,0.308588266,0.702476203,0.002678843,0.999941528
0.014423761,0.066180699,0.020797286,0.089906357,0.732770264,0.036245067,0.999953032
0.83794117,0.112377562,0.96303606,0.233371064,0.958436549,0.229348391,0.5
0.982664227,0.005927814,0.824967206,0.051706184,0.726002693,0.809348345,0.353810519
0.513858557,0.101525791,0.407717884,0.071846589,0.989230335,0.268983781,0.685367167
0.298089564,0.004438205,0.601473629,0.097215541,0.864289463,0.063615903,0.908558667
0.5,0.035450634,0.683125794,0.699088633,0.649017096,0.03993148,0.951284707
0.003403876,3.00E-14,0.011292742,0.88145566,0.808817983,0.544420063,0.038072761
2.65E-06,0.120878085,0.491672069,0.999994814,0.103791766,0.013662799,0.999446571
0.62898612,0.010226061,0.97902745,0.520484626,0.647561967,0.930031657,0.050280679
0.61010462,2.48E-10,0.865905643,0.928288817,0.809023917,0.147403717,0.019050883
0.005633453,3.00E-14,0.004077556,0.99999994,0.808817089,0.09559036,3.00E-14
0.864594042,0.080865234,0.99999845,0.780208051,0.357877553,0.280272186,0.297981083
1.56E-05,3.00E-14,0.015204903,0.999999583,0.808817089,0.095590055,3.00E-14
0.971599102,0.057327267,0.980056465,0.373444557,0.460090905,0.245221615,0.730211675
0.971236527,0.059681095,0.999998093,0.066388361,0.645380139,0.373834223,0.277493447
0.376853198,0.065841362,0.993470013,0.362907678,0.853260696,0.041597523,0.988568246
0.07376866,0.062231109,0.788081169,0.003675089,0.180829659,0.246336967,0.711370468
0.921377003,0.134731978,0.922285676,0.408525914,0.337226629,0.134140655,0.765146375
1.33E-07,3.00E-14,0.030720489,0.976151288,0.808817089,0.09559036,3.00E-14
0.398680687,0.065697961,0.999988198,0.021501068,0.632374942,0.48270902,0.9335168
0.558236659,0.524645269,0.139347777,0.020383703,0.468996853,0.010071327,0.975039601
0.031635843,0.007015065,0.206880659,0.134108618,0.75308615,0.029576628,0.873212457
